L_FW_X	L_FW_Y	L_HW_X	L_HW_Y	L_Band_X	L_Band_Y	L_N1_X	L_N1_Y	L_N2_X	L_N2_Y	L_N3_X	L_N3_Y	L_N4_X	L_N4_Y	L_BandN1_X	L_BandN1_Y	L_BandN2_X	L_BandN2_Y	L_BandN3_X	L_BandN3_Y	L_BandN4_X	L_BandN4_Y	L_Yb_X	L_Yb_Y	L_Hwden_X	L_Hwden_Y	L_Fwden1_X	L_Fwden1_Y	L_Fwden2_X	L_Fwden2_Y	L_Fwden3_X	L_Fwden3_Y	L_Fwden4_X	L_Fwden4_Y	L_ray1_X	L_ray1_Y	L_ray2_X	L_ray2_Y	L_ray3_X	L_ray3_Y	L_ray4_X	L_ray4_Y	L_ray6_X	L_ray6_Y	L_ray5_X	L_ray5_Y
60.71473	126.8456	56.015892	153.91629	65.67621	97.935653	61.37184	85.615293	72.232143	75.487182	76.987259	63.07991	91.208572	49.017182	61.372578	85.600611	71.215029	75.546603	76.167448	62.730016	91.208572	49.017182	108.14856	166.5373	103.39071	156.67899	119.36802	123.19153	160.31161	126.27855	128.35161	99.787114	156.38335	91.45336	148.30213	201.81252	131.88715	208.25224	117.56139	208.08448	103.60288	201.30744	83.39983	178.83155	92.23866	189.94323
60.71473	126.8456	56.649206	153.27644	65.70172	97.748421	61.40804	85.377553	72.179837	75.539487	76.749083	63.010996	91.04166	48.905182	61.408778	85.362871	70.716132	75.555138	75.868507	62.556795	91.04166	48.905182	108.14856	166.5373	103.39071	156.67899	119.08154	123.01689	159.95857	126.18386	128.02293	99.239864	156.6487	91.693503	148.49291	201.52879	132.08699	207.96807	118.0429	207.36157	103.81308	201.03316	83.601331	178.65367	92.480024	189.6689
58.926769	125.48733	57.315562	152.66631	65.84687	97.058624	61.379395	84.902413	71.713926	75.538068	76.466388	62.903238	90.529963	48.509913	61.380133	84.887731	70.092124	75.619691	75.40174	62.152725	90.529963	48.509913	105.88438	165.7082	108.76912	156.08293	118.46646	122.79949	159.34011	126.02077	127.80233	98.627477	157.14403	92.081481	148.87918	201.06556	132.45501	207.42108	118.79666	206.27386	104.19172	200.47543	83.990735	178.35928	93.024831	189.04599
58.926769	125.48733	58.008941	152.08537	65.98539	96.185203	61.403834	84.375582	71.215029	75.546603	76.167448	62.730016	90.02125	48.050919	61.404572	84.3609	70	75.665753	75.25016	61.987341	90.02125	48.050919	105.88438	165.7082	108.76912	156.08293	117.96452	122.52369	158.65967	125.83976	127.78153	98.044036	157.6726	92.49954	149.30873	200.52607	132.87317	206.79247	119.0077	205.9794	104.6126	199.85475	84.419167	178.03559	93.647268	188.36118
58.926769	125.48733	58.70232	151.50444	66.12392	95.311782	61.428274	83.848752	70.716132	75.555138	75.868507	62.556795	89.512538	47.591925	61.429012	83.83407	69.907876	75.711815	75.09858	61.821957	89.512538	47.591925	105.88438	165.7082	108.76912	156.08293	117.46259	122.24788	157.97924	125.65875	127.76073	97.460595	158.20116	92.917599	149.73827	199.98658	133.29133	206.16386	119.21874	205.68494	105.03347	199.23408	84.847598	177.71189	94.269705	187.67637
56.68943	123.7552	59.422723	150.95269	66.25581	94.254738	61.630069	83.047982	70.092124	75.619691	75.40174	62.152725	88.929326	46.885755	61.630807	83.0333	69.193089	75.733635	74.791184	61.328599	88.929326	46.885755	103.68296	164.942	114.1776	155.77029	117.15688	121.70953	156.93636	125.37665	127.93972	96.906099	158.96212	93.545969	150.39303	199.07644	133.9598	205.14831	119.64732	205.17963	105.68615	198.28746	85.493864	177.21133	95.245716	186.66867
56.68943	123.7552	60.164131	150.4296	66.25479	93.333011	61.75434	82.825733	70	75.665753	75.25016	61.987341	88.851841	46.702304	61.755078	82.811051	68.45694	75.699548	74.510906	60.763967	88.851841	46.702304	103.68296	164.942	114.1776	155.77029	117.23994	121.50539	156.63589	125.29347	128.4102	96.47463	159.16127	93.7262	150.57497	198.78206	134.15999	204.84298	120.12453	204.59021	105.87572	198.02445	85.67267	177.06378	95.52166	186.40769
56.68943	123.7552	60.905539	149.9065	66.25376	92.411284	61.878611	82.603484	69.907876	75.711815	75.09858	61.821957	88.774356	46.518853	61.879349	82.588802	67.720792	75.66546	74.230627	60.199335	88.774356	46.518853	103.68296	164.942	114.1776	155.77029	117.323	121.30125	156.33542	125.21029	129.11648	95.826917	159.36042	93.906431	150.75691	198.48768	134.36018	204.53765	120.60173	204.00079	106.06529	197.76144	85.851476	176.91622	95.797604	186.14671
55.196349	122.54015	61.667952	149.41205	65.90501	91.521045	62.219427	82.179804	69.193089	75.733635	74.791184	61.328599	88.846233	46.36108	62.220165	82.165122	66.874498	75.48668	73.955914	59.33819	88.846233	46.36108	101.58257	164.1843	119.58895	155.81836	118.35039	121.09176	155.76825	125.0614	130.07717	95.882189	159.68662	94.232625	151.0924	197.78238	134.81011	203.88511	121.33032	203.01184	106.42136	197.30806	86.146498	176.65366	96.349486	185.6932
55.196349	122.54015	62.445351	148.9457	65.44273	90.85613	62.623182	81.739531	68.45694	75.699548	74.510906	60.763967	89.011477	46.176271	62.62392	81.724849	66.785714	75.397896	73.93436	59.11295	89.011477	46.176271	101.58257	164.1843	119.58895	155.81836	119.65164	120.93346	155.11783	124.88148	131.09967	96.075439	160.05246	94.603202	151.4672	196.99825	135.3007	203.13009	121.53308	202.6964	106.8361	196.76832	86.501846	176.3383	96.969182	185.18918
